City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,urzhar,47.093,81.6294,-5.04,74,3,3.0,KZ,1733406787
322,namanga,-2.5433,36.7905,26.65,39,84,4.42,KE,1733406789
323,mazagao,-0.115,-51.2894,23.69,95,100,2.29,BR,1733406790
324,saminaka,10.414,8.6828,31.18,14,5,2.02,NG,1733406791
325,timimoun,29.2639,0.231,20.97,20,0,8.67,DZ,1733406792
326,kayangel,8.0823,134.7173,28.9,78,83,4.8,PW,1733406793
327,whitehorse,60.7161,-135.0538,3.94,93,75,9.77,CA,1733406797
328,cooper's town,26.8667,-77.5167,19.89,62,100,1.65,BS,1733406798
329,malango,-2.9627,119.9001,20.09,95,100,0.71,ID,1733406799
330,juneau,58.3019,-134.4197,8.0,97,100,5.14,US,1733406800
331,bairnsdale,-37.8333,147.6167,18.36,69,15,2.19,AU,1733406802
332,lata,40.1629,-8.3327,16.43,66,87,2.21,PT,1733406803
333,invercargill,-46.4,168.35,11.68,84,44,5.81,NZ,1733406804
334,karratha,-20.7377,116.8463,28.51,63,3,5.54,AU,1733406805
335,luderitz,-26.6481,15.1594,21.75,61,18,8.61,NA,1733406806
336,zhaogezhuang,39.7667,118.4,0.22,27,0,4.15,CN,1733406807
337,kimbe,-5.5502,150.1429,25.34,93,100,1.6,PG,1733406808
338,krasnokamensk,50.0979,118.0369,-17.43,94,100,1.74,RU,1733406810
339,mejit,10.2753,170.8646,27.76,83,32,10.7,MH,1733406811
340,ventspils,57.3894,21.5606,1.96,100,100,3.6,LV,1733406812
341,padangsidempuan,1.3667,99.2667,22.25,94,100,1.31,ID,1733406813
342,hobyo,5.3505,48.5268,27.56,63,0,8.62,SO,1733406814
343,celestun,20.8667,-90.4,19.67,75,31,3.39,MX,1733406815
344,minas de marcona,-15.2119,-75.1103,18.03,72,56,5.79,PE,1733406817
345,maun,-19.9833,23.4167,40.31,8,35,1.38,BW,1733406818
346,sorong,-0.8833,131.25,27.51,82,100,2.69,ID,1733406819
347,breckenridge,32.7557,-98.9023,5.11,100,0,0.0,US,1733406820
348,punta del este,-34.9667,-54.95,27.06,54,0,5.14,UY,1733406821
349,antsohihy,-14.8796,47.9875,30.57,55,37,3.34,MG,1733406822
350,ugoofaaru,5.6667,73.0,27.51,71,63,2.75,MV,1733406823
351,tura,25.5198,90.2201,15.86,66,0,1.62,IN,1733406824
352,rice lake,45.5061,-91.7382,-7.82,63,100,5.66,US,1733406826
353,pekan,3.4836,103.3996,24.81,92,100,0.59,MY,1733406827
354,saint-francois,46.4154,3.9054,6.47,72,0,3.6,FR,1733406828
355,bukama,-9.2,25.85,24.6,84,78,1.41,CD,1733406829
356,jinghong,21.991,100.7341,18.78,96,6,1.04,CN,1733406830
357,muravlenko,63.7898,74.523,-5.13,95,100,7.57,RU,1733406831
358,westport,41.1415,-73.3579,2.96,89,100,3.13,US,1733406833
